식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
꿩불고기 (500g당),368,39,33,8
닭갈비 (400g당),595,44,45,25
닭갈비 (300g당),558,23,45,31
닭꼬치 (70g당),176,13,11,8
더덕구이 (100g당),184,31,3,5
도미구이 (250g당),397,2,61,16
돼지갈비 (100g당),240,8,19,14
병어구이 (250g당),488,0,54,30
불고기 (150g당),395,7,34,25
붕장어소금구이 (100g당),296,11,26,16
소양념갈비구이 (300g당),989,26,60,71
양념왕갈비 (150g당),480,13,27,35
양념장어구이 (150g당),433,8,30,30
임연수구이 (250g당),494,3,53,29
짚불구이곰장어 (200g당),326,2,42,16
햄버그스테이크 (200g당),457,20,26,29
황태구이 (200g당),437,26,47,15
훈제오리 (250g당),797,12,43,64
게국지 (1100g당),415,31,44,12
곰치국 (1000g당),419,23,54,11
굴국밥 (650g당),683,88,42,17
김치국 (450g당),89,10,5,2
떡만둣국 (700g당),624,110,20,11
만둣국 (700g당),434,47,21,17
맑은감자국 (700g당),221,34,8,5
매생이국 (500g당),119,13,10,2
무된장국 (450g당),104,14,6,2
미소된장국 (150g당),38,2,2,1
바지락조개국 (550g당),157,10,22,3
뼈다귀해장국 (1000g당),714,23,74,35
선지해장국 (1000g당),312,16,49,5
소고기무국 (400g당),123,7,14,4
소고기미역국 (650g당),151,7,18,5
순대국 (800g당),540,17,43,33
시래기된장국 (450g당),99,11,6,3
올갱이국 (600g당),144,13,13,4
우거지해장국 (600g당),154,13,11,5
우렁된장국 (500g당),245,19,24,7
탕국 (250g당),92,0,13,4
홍합미역국 (650g당),167,11,19,4
황태해장국 (600g당),181,5,24,6
고추잡채 (200g당),256,26,10,12
난자완스 (200g당),346,19,21,20
도토리묵말이 (1300g당),462,89,6,8
라조기 (200g당),398,26,20,23
물회 (700g당),529,55,34,18
생선물회 (800g당),577,82,34,12
소고기샤브샤브 (600g당),263,14,29,9
오징어순대 (350g당),466,58,45,5
초당순두부 (900g당),522,15,49,29
해파리냉채 (150g당),91,13,6,1
고들빼기 (50g당),55,10,1,0
열무얼갈이김치 (50g당),17,2,1,0
미나리나물 (50g당),29,2,1,1
취나물 (50g당),74,3,1,6
콩나물 (50g당),25,0,1,1
경단(깨) (100g당),319,74,4,0
경단(콩) (100g당),314,74,3,0
기피편 (100g당),219,48,5,0
녹두시루떡 (100g당),246,48,7,2
메밀전병 (100g당),167,21,6,6
무지개떡 (100g당),228,53,3,0
송편(깨) (100g당),224,44,4,2
송편(콩) (100g당),194,41,5,0
수수부꾸미 (100g당),247,42,5,6
수수팥떡 (100g당),204,43,6,0
시루떡 (100g당),217,47,5,0
쑥떡 (100g당),248,57,3,0
절편 (100g당),192,43,3,0
찹쌀떡 (100g당),276,65,3,0
간자장 (650g당),824,134,22,22
굴짬뽕 (900g당),680,115,32,9
기스면 (1000g당),606,89,37,10
김치라면 (650g당),552,86,13,16
김치우동 (800g당),500,99,15,4
냉김치말이국수 (600g당),302,52,12,4
닭칼국수 (900g당),663,94,42,12
둘깨칼국수 (600g당),457,59,17,16
막국수 (1000g당),571,109,20,5
삼선우동 (1000g당),691,105,47,8
삼선자장면 (700g당),803,126,33,18
삼선짬뽕 (900g당),662,101,39,10
쌀국수 (600g당),320,55,15,4
열무김치국수 (800g당),431,69,15,10
열무냉면 (800g당),525,97,20,5
오일소스스파게티 (400g당),646,89,19,23
올갱이국수 (1500g당),566,111,11,8
우동(일식) (700g당),421,74,13,7
우동(중식) (1000g당),648,85,29,21
울면 (1000g당),728,128,37,7
자장면 (650g당),796,133,19,20
짬뽕라면 (750g당),689,92,21,26
치즈라면 (600g당),595,80,16,23
크림소스스파게티 (400g당),837,73,21,50
토마토소스스파게티 (500g당),642,93,24,19
해물칼국수 (900g당),628,123,22,4
해물크림소스스파게티 (500g당),917,86,30,49
해물토마토소스스파게티 (500g당),584,87,27,13
골뱅이무침 (100g당),108,15,7,1
노각무침 (150g당),84,14,2,1
단무지무침 (50g당),20,2,0,0
달래나물무침 (150g당),136,23,4,2
더덕무침 (150g당),216,43,4,2
도토리묵 (100g당),45,10,0,0
밴댕이무침 (400g당),600,46,29,33
서대회무침 (300g당),315,45,22,4
쑥갓나물무침 (150g당),96,6,4,5
우거지나물무침 (150g당),129,8,4,8
쥐치채 (20g당),55,10,2,0
청포묵무침 (250g당),149,22,2,5
탕평채 (100g당),97,12,3,3
홍어무침 (200g당),198,25,17,2
고추장불고기 삼각김밥 (100g당),165,34,3,1
곤드레나물밥 (350g당),521,98,10,9
국밥 (800g당),418,58,27,8
농어초밥 (250g당),396,78,17,1
돼지국밥 (1200g당),911,74,66,38
류산슬덮밥 (550g당),574,73,26,19
멍게비빔밥 (400g당),547,90,16,13
멸치주먹밥 (150g당),312,54,9,6
묵밥 (950g당),642,128,14,7
문어초밥 (250g당),392,81,14,0
비빔밥 (450g당),691,98,24,22
삼선볶음밥 (400g당),686,85,26,26
새우초밥 (250g당),387,78,16,0
새우튀김롤 (300g당),606,96,14,18
샐러드김밥 (250g당),405,61,9,13
생선초밥(광어) (300g당),453,77,27,3
생선초밥(모듬) (300g당),461,76,25,6
소고기국밥 (700g당),330,42,21,8
소고기김밥 (250g당),400,62,15,9
송이덮밥 (600g당),581,95,18,14
숯불갈비 삼각김밥 (100g당),161,32,3,1
약초비빔밥 (400g당),511,80,11,15
연어롤 (300g당),510,74,18,15
연어초밥 (250g당),447,71,18,9
오곡밥 (250g당),388,82,11,1
자장밥 (500g당),741,120,15,22
잡탕밥 (750g당),777,104,44,20
장어덮밥 (400g당),716,97,30,22
장어초밥 (250g당),486,80,16,10
참치덮밥 (500g당),679,102,29,16
참치마요네즈 삼각김밥 (100g당),172,31,3,3
충무김밥 (400g당),583,109,23,5
캘리포니아롤 (300g당),487,89,12,9
한치초밥 (250g당),374,77,13,0
해물덮밥 (700g당),771,100,42,22
해물볶음밥 (400g당),705,90,25,26
회덮밥 (500g당),683,103,30,16
깻잎나물볶음 (200g당),206,11,7,14
돼지고기볶음 (200g당),350,18,22,20
돼지껍데기볶음 (150g당),352,24,25,16
두부김치 (250g당),288,14,19,17
머위나물볶음 (150g당),108,7,3,7
멸치풋고추볶음 (20g당),52,3,4,2
소세지볶음 (200g당),471,31,18,29
순대볶음 (400g당),582,76,20,21
양송이버섯볶음 (150g당),136,11,4,8
오삼불고기 (200g당),363,20,25,19
주꾸미볶음 (200g당),211,22,18,5
표고버섯볶음 (150g당),142,15,4,6
해물볶음 (400g당),419,32,38,15
곰보빵 (70g당),277,42,6,9
만주 (70g당),222,46,5,1
버터크림빵 (60g당),229,27,4,11
불고기피자 (200g당),505,61,27,16
참치샌드위치 (250g당),555,36,23,35
찹쌀도우넛 (70g당),207,39,3,3
채소고로케 (100g당),300,31,7,16
초콜릿케이크 (100g당),420,43,5,24
치즈케이크 (100g당),329,28,7,20
치즈피자 (200g당),553,71,31,15
페이스트리빵 (70g당),319,32,5,18
페퍼로니피자 (200g당),532,70,29,14
포테이토피자 (250g당),628,71,28,25
수정과 (150g당),133,20,0,5
식혜 (150g당),130,24,2,2
간장마늘쫑장아찌 (50g당),30,5,1,0
고추장마늘쫑장아찌 (50g당),55,10,1,0
매실장아찌 (30g당),72,17,0,0
무장아찌 (30g당),23,5,0,0
계적 (250g당),488,0,57,30
낙지꼬지 (80g당),75,2,13,1
돔베기적 (100g당),159,0,30,7
소고기산적 (200g당),453,7,48,25
소라산적 (80g당),120,6,17,2
오징어산적 (80g당),101,3,17,1
홍어적 (100g당),89,0,23,0
홍합산적 (80g당),156,10,17,4
가자미전 (150g당),230,6,25,11
고추전 (150g당),274,17,12,17
굴전 (100g당),195,14,10,10
