식품명,에너지(㎉),탄수화물(g),단백질(g),지방(g)
가다랑어 (100g당),0,0,0,0
가다랑어 (100g당),0,0,24,0
가다랑어 (100g당),127,0,25,1
가다랑어 (100g당),0,0,0,0
가다랑어-간 (100g당),0,0,0,0
가다랑어-내장 (100g당),0,0,17,0
가다랑어-레토르트식품(기름담금) (100g당),175,7,12,9
가다랑어-레토르트식품(조미) (100g당),0,0,6,0
가다랑어-보통육 (100g당),0,0,27,0
가다랑어-보통육 (100g당),0,0,0,0
가다랑어-알 (100g당),0,0,26,0
가다랑어-통조림(기름담금) (100g당),209,0,20,13
가다랑어-포 (100g당),372,1,69,7
가다랑어-혈합육 (100g당),0,0,23,0
가다랑어-혈합육 (100g당),0,0,0,0
가다랑어-혈합육 (100g당),0,0,0,0
가라지 (100g당),78,0,14,1
가래상어 (100g당),99,0,22,0
가무락조개 (100g당),0,0,0,0
가무락조개 (100g당),0,0,0,0
가무락조개 (100g당),77,2,14,0
가무락조개 (100g당),0,0,12,0
가물치 (100g당),86,0,18,0
가물치 (100g당),0,0,20,0
가물치 (100g당),0,0,0,0
가물치 (100g당),0,0,0,0
가숭어 (100g당),0,0,18,0
가시망둑 (100g당),101,0,22,0
가시발새우 (100g당),71,0,15,0
가시베도라치 (100g당),0,0,0,0
가시베도라치 (100g당),85,0,15,1
가재 (100g당),126,3,15,5
각시가자미 (100g당),84,0,16,1
각시돔 (100g당),90,0,20,0
각시서대 (100g당),0,0,0,0
각시서대 (100g당),95,0,18,1
각시수랑 (100g당),0,0,0,0
각시수랑 (100g당),70,0,15,0
각시흰새우 (100g당),85,1,15,1
갈가자미 (100g당),90,0,18,1
갈고리흰오징어 (100g당),72,1,15,0
갈고리흰오징어 (100g당),0,0,15,0
갈고리흰오징어-근육 (100g당),0,0,13,0
갈래곰보 (100g당),0,0,0,0
갈래곰보 (100g당),0,0,16,0
갈래곰보 (100g당),12,4,0,0
갈래곰보 (100g당),0,0,0,0
갈색고리돼지고둥 (100g당),92,4,16,0
갈색띠매물고둥 (100g당),0,0,17,0
갈색띠매물고둥 (100g당),78,3,15,0
갈전갱이 (100g당),0,0,0,0
갈전갱이 (100g당),111,0,19,3
갈전갱이 (100g당),0,0,0,0
갈치 (100g당),0,0,18,0
갈치 (100g당),149,0,18,7
갈치 (100g당),0,0,0,0
갈치 (100g당),0,0,0,0
갈치 (100g당),0,0,0,0
갈치-속젓갈 (100g당),195,32,8,3
갈치-얼간품 (100g당),188,0,26,8
갈치-젓갈 (100g당),176,28,8,3
갈파래 (100g당),0,0,0,0
갈파래 (100g당),0,0,32,0
감성돔 (100g당),101,0,18,2
감성돔 (100g당),0,0,0,0
감성돔 (100g당),0,0,21,0
강담돔 (100g당),93,0,18,1
강담돔-양식산 (100g당),0,0,0,0
강도다리 (100g당),0,0,0,0
강도다리 (100g당),0,0,0,0
강도다리-알 (100g당),0,0,0,0
강준치 (100g당),90,0,18,1
개도박 (100g당),0,0,5,0
개량조개 (100g당),0,0,0,0
개량조개 (100g당),62,1,12,0
개량조개 (100g당),0,0,0,0
개량조개-소건품 (100g당),276,7,54,2
개복치 (100g당),0,0,10,0
개볼락 (100g당),0,0,21,0
개볼락 (100g당),88,0,19,0
개불 (100g당),53,1,10,0
개불 (100g당),0,0,0,0
개불 (100g당),0,0,15,0
개서대 (100g당),85,0,19,0
개조개 (100g당),0,0,15,0
개조개 (100g당),64,3,10,0
개조개 (100g당),0,0,0,0
갯가재 (100g당),87,0,16,1
갯가재 (100g당),0,0,17,0
갯가재 (100g당),0,0,0,0
갯개미자리 (100g당),0,0,2,0
갯장어 (100g당),0,0,0,0
갯장어 (100g당),0,0,18,0
갯장어 (100g당),170,0,17,9
갯질경이 (100g당),0,0,1,0
거북등안장멍게 (100g당),66,5,7,1
거북손 (100g당),0,0,17,0
검복 (100g당),0,0,0,0
검복 (100g당),0,0,21,0
검복 (100g당),94,0,21,0
게르치 (100g당),158,0,20,7
게르치 (100g당),0,0,0,0
게르치 (100g당),0,0,22,0
고등어 (100g당),0,0,0,0
고등어 (100g당),0,0,0,0
고등어 (100g당),0,0,0,0
고등어 (100g당),0,0,20,0
고등어 (100g당),183,0,20,10
고등어 (100g당),139,0,20,5
고등어 (100g당),175,0,20,9
고등어 (100g당),246,0,18,17
고등어 (100g당),146,0,22,5
고등어-대 (100g당),0,0,0,0
고등어-보통육 (100g당),0,0,0,0
고등어-세 (100g당),0,0,0,0
고등어-소 (100g당),0,0,0,0
고등어-염건품 (100g당),171,0,21,8
고등어-염장품 (100g당),172,0,26,6
고등어-중 (100g당),0,0,0,0
고등어-통조림(보일드) (100g당),207,0,18,13
고등어-통조림(조미) (100g당),0,0,14,0
고등어-혈합육 (100g당),0,0,0,0
고려홍어 (100g당),0,0,0,0
고려홍어 (100g당),0,0,0,0
고리매 (100g당),0,0,2,0
고무꺽정이 (100g당),81,2,16,0
곰피 (100g당),0,0,12,0
곰피 (100g당),0,0,0,0
곱상어 (100g당),164,0,16,10
곳체다슬기 (100g당),0,0,12,0
곳체다슬기 (100g당),0,0,0,0
곳체다슬기 (100g당),78,4,11,0
곳체다슬기 (100g당),0,0,0,0
관절매물고둥 (100g당),0,0,16,0
관절매물고둥 (100g당),104,4,17,1
광동홍어 (100g당),103,0,23,0
광동홍어 (100g당),0,0,23,0
광동홍어 (100g당),0,0,0,0
괴도라치 (100g당),74,0,17,0
괴도라치 (100g당),0,0,0,0
구갈돔 (100g당),89,0,20,0
구멍갈파래 (100g당),0,0,4,0
구멍갈파래 (100g당),0,0,0,0
구멍갈파래 (100g당),0,0,0,0
구멍갈파래-소건품 (100g당),0,0,0,0
국매리복 (100g당),91,0,20,0
군소 (100g당),36,0,5,1
군소 (100g당),0,0,7,0
군평선이 (100g당),103,0,18,2
군평선이 (100g당),0,0,16,0
궁제기서대 (100g당),0,0,19,0
궁제기서대 (100g당),91,0,18,1
그물베도라치 (100g당),107,0,22,1
기름가자미 (100g당),83,0,18,0
기름가자미-소건품 (100g당),114,3,22,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,19,0
기름가자미-수컷 (100g당),0,0,16,0
기름가자미-수컷 (100g당),0,0,16,0
기름가자미-수컷 (100g당),0,0,18,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,18,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,17,0
기름가자미-수컷 (100g당),0,0,18,0
기름가자미-알 (100g당),0,0,0,0
기름가자미-암컷 (100g당),0,0,18,0
기름가자미-암컷 (100g당),0,0,19,0
기름가자미-암컷 (100g당),0,0,17,0
기름가자미-암컷 (100g당),0,0,17,0
기름가자미-암컷 (100g당),0,0,18,0
기름가자미-암컷 (100g당),0,0,18,0
기름가자미-암컷 (100g당),0,0,18,0
기름가자미-암컷 (100g당),0,0,19,0
기름가자미-암컷 (100g당),0,0,18,0
기름가자미-암컷 (100g당),0,0,19,0
기름가자미-암컷 (100g당),0,0,17,0
기름가자미-암컷 (100g당),0,0,18,0
기름종개 (100g당),107,0,17,3
긴고둥 (100g당),118,4,17,2
긴고둥 (100g당),0,0,0,0
긴꼬리벵에돔 (100g당),97,0,20,1
긴뿔천길새우 (100g당),92,0,20,0
김 (100g당),0,0,0,0
까나리 (100g당),0,0,18,0
까나리 (100g당),0,0,0,0
까나리 (100g당),114,0,16,4
까나리-액젓 (100g당),36,0,7,0
까치복 (100g당),0,0,16,0
까치복 (100g당),0,0,0,0
까치복 (100g당),85,0,19,0
까치상어 (100g당),112,0,24,0
까칠복 (100g당),85,0,19,0
까칠복 (100g당),0,0,0,0
깨다시꽃게 (100g당),0,0,0,0
깨다시꽃게 (100g당),0,0,15,0
꺽저기 (100g당),92,0,19,1
꼬막 (100g당),63,1,12,0
꼬막 (100g당),0,0,13,0
꼬시래기 (100g당),17,5,1,0
꼬치고기 (100g당),0,0,19,0
꼬치고기 (100g당),96,0,20,0
꼬치고기 (100g당),0,0,0,0
꼼치 (100g당),70,0,16,0
꼼치 (100g당),0,0,0,0
꼽새돔 (100g당),102,0,19,2
꽁지양태 (100g당),78,0,16,0
꽁치 (100g당),0,0,0,0
꽁치 (100g당),0,0,0,0
꽁치 (100g당),142,0,22,4
꽁치 (100g당),0,0,20,0
꽁치-동건품 (100g당),421,0,32,29
꽁치-동건품 (100g당),0,0,0,0
꽁치-통조림(보일드) (100g당),0,0,15,0
꽁치-통조림(조미) (100g당),243,10,15,14
꽃게 (100g당),74,2,13,0
꽃게 (100g당),0,0,15,0
꽃게 (100g당),0,0,0,0
꽃게 (100g당),0,0,0,0
꽃게-내장 (100g당),0,0,10,0
꽃게-내장 (100g당),0,0,0,0
꽃게-알 (100g당),0,0,25,0
꽃새우 (100g당),0,0,19,0
꽃새우-자건품 (100g당),307,4,55,5
나문재 (100g당),0,0,2,0
나비가오리 (100g당),80,0,17,0
나팔고둥 (100g당),111,3,15,3
낙지 (100g당),0,0,0,0
낙지 (100g당),0,0,13,0
낙지 (100g당),0,0,0,0
낙지 (100g당),75,0,16,0
낙지-내장 (100g당),0,0,16,0
낙지-알 (100g당),0,0,25,0
날개다랑어-통조림(기름담금) (100g당),206,1,17,13
날치 (100g당),99,0,22,0
남방대구 (100g당),0,0,10,0
남방도화새우 (100g당),0,0,0,0
남방큰돌고래 (100g당),0,0,27,0
남방큰돌고래-보통육 (100g당),0,0,0,0
남방큰돌고래-지방 (100g당),0,0,0,0
납작파래 (100g당),0,0,38,0
납작파래 (100g당),17,3,3,0
납작파래 (100g당),0,0,0,0
납지리 (100g당),86,0,17,1
넓은입물레고둥 (100g당),0,0,0,0
넙치 (100g당),109,0,20,2
넙치 (100g당),0,0,0,0
넙치 (100g당),0,0,20,0
넙치-무안부 (100g당),0,0,0,0
넙치-무안부 (100g당),0,0,19,0
넙치-무안부 (100g당),0,0,0,0
넙치-생식소 (100g당),0,0,0,0
넙치-양식산 (100g당),0,0,0,0
넙치-유안부 (100g당),0,0,0,0
넙치-유안부 (100g당),0,0,0,0
넙치-유안부 (100g당),0,0,20,0
넙치-지느러미 (100g당),0,0,0,0
네동가리 (100g당),82,0,19,0
노랑가오리 (100g당),0,0,0,0
노랑가오리 (100g당),0,0,0,0
노랑가오리 (100g당),97,0,21,0
노랑가오리-간 (100g당),0,0,0,0
노랑가자미-양식산 (100g당),0,0,0,0
노랑가자미-자연산 (100g당),0,0,0,0
노랑각시서대 (100g당),0,0,0,0
노랑벤자리 (100g당),94,0,17,2
노랑벤자리 (100g당),0,0,17,0
노래미 (100g당),89,0,17,1
노래미 (100g당),0,0,0,0
노무라입깃해파리 (100g당),6,0,1,0
녹새치 (100g당),0,0,0,0
놀래기 (100g당),0,0,20,0
놀래기 (100g당),107,0,19,2
농어 (100g당),0,0,0,0
농어 (100g당),96,0,18,1
농어 (100g당),0,0,20,0
농어-양식산 (100g당),0,0,0,0
농어-자연산-대 (100g당),0,0,0,0
농어-자연산-소 (100g당),0,0,0,0
누루시볼락 (100g당),149,0,22,5
누치 (100g당),105,0,17,3
누치 (100g당),0,0,0,0
눈가자미 (100g당),93,0,19,1
눈강달이 (100g당),109,0,17,3
눈강달이 (100g당),0,0,0,0
눈강달이 (100g당),0,0,0,0
눈강달이-젓갈 (100g당),107,0,14,5
눈다랑어 (100g당),0,0,0,0
눈다랑어 (100g당),0,0,24,0
눈볼대 (100g당),144,0,22,5
눈볼대 (100g당),0,0,16,0
눈볼대 (100g당),0,0,0,0
눈양태 (100g당),90,0,20,0
눈퉁멸 (100g당),138,0,18,6
눈퉁멸 (100g당),0,0,20,0
능성어 (100g당),0,0,20,0
능성어 (100g당),93,0,18,1
능성어-간 (100g당),0,0,12,0
다금바리 (100g당),100,0,19,1
다슬기 (100g당),0,0,13,0
다슬기 (100g당),0,0,0,0
다슬기 (100g당),78,5,11,1
다시마 (100g당),0,0,1,0
다시마 (100g당),12,3,1,0
다시마 (100g당),0,0,0,0
다시마-소건품 (100g당),110,41,7,1
다시마-소건품 (100g당),0,0,0,0
달강어 (100g당),0,0,0,0
달강어 (100g당),121,0,19,4
달고기 (100g당),0,0,0,0
달고기 (100g당),0,0,18,0
달고기 (100g당),97,0,19,1
달고기 (100g당),0,0,0,0
달고기 (100g당),0,0,0,0
달고기-알 (100g당),115,0,23,1
닭게 (100g당),69,0,15,0
닭새우 (100g당),0,0,0,0
닭새우 (100g당),0,0,14,0
닭새우 (100g당),88,1,17,1
닭새우 (100g당),0,0,0,0
대게 (100g당),85,0,17,1
대게 (100g당),0,0,0,0
대게-자건품 (100g당),314,2,66,2
대구 (100g당),0,0,0,0
대구 (100g당),86,0,19,0
대구 (100g당),0,0,16,0
대구-소건품 (100g당),0,0,0,0
대구-소건품 (100g당),0,0,55,0
대구-소건품 (100g당),312,1,65,3
대구-수컷 (100g당),0,0,0,0
대구-수컷 (100g당),83,0,18,0
대구-수컷 (100g당),0,0,0,0
대구-수컷-간 (100g당),0,0,0,0
대구-수컷-근육 (100g당),0,0,0,0
대구-수컷-내장 (100g당),0,0,0,0
대구-알 (100g당),0,0,0,0
대구-알 (100g당),0,0,0,0
대구-알 (100g당),0,0,0,0
대구-암컷 (100g당),69,0,15,0
대구-암컷 (100g당),0,0,0,0
대구-암컷-근육 (100g당),0,0,0,0
대구-암컷-내장 (100g당),0,0,0,0
대구-조미건품(포) (100g당),305,14,54,2
대구횟대 (100g당),93,0,19,0
대두어 (100g당),96,0,17,2
대문어 (100g당),0,0,0,0
대문어 (100g당),0,0,0,0
대문어 (100g당),58,0,12,0
대문어-내장 (100g당),0,0,16,0
대문어-몸통 (100g당),0,0,14,0
대문어-소건품 (100g당),348,3,72,3
대수리 (100g당),112,1,18,2
대하 (100g당),0,0,21,0
대하 (100g당),0,0,0,0
대하 (100g당),82,0,18,0
대하 (100g당),0,0,0,0
대황-소건품 (100g당),145,54,7,0
덕대 (100g당),0,0,15,0
덕대-알 (100g당),0,0,22,0
도다리 (100g당),0,0,0,0
도다리 (100g당),78,0,17,0
도다리 (100g당),0,0,0,0
도다리 (100g당),0,0,19,0
도도바리 (100g당),95,0,19,1
도루묵 (100g당),113,0,16,4
도루묵 (100g당),0,0,14,0
도화돔 (100g당),130,0,21,4
도화양태 (100g당),0,0,0,0
도화양태 (100g당),77,0,16,0
독가시치 (100g당),0,0,0,0
독가시치 (100g당),97,0,20,1
독돔 (100g당),97,0,20,0
돌가자미 (100g당),90,0,20,0
돌가자미 (100g당),0,0,21,0
돌가자미-소건품 (100g당),107,1,20,1
돌고기 (100g당),0,0,0,0
돌돔 (100g당),0,0,0,0
돌돔 (100g당),86,0,17,1
